participant_id,scenario_id,comfort,stress,walking_likelihood,avoidance_likelihood,route_choice,improvement_choice,avoid_factor
P035,S02,3.0,2.0,,,Depends on the weather,,
P035,S03,2.0,4.0,2.0,,,Better crowd management / wider pedestrian spaces,
P035,S04,,,,1.0,,,Heavy rainfall
P036,S01,4.0,,3.0,,,,
P036,S02,2.0,3.0,,,Shaded/less crowded route,,
P036,S03,5.0,5.0,1.0,,,More shaded pedestrian paths,
P036,S04,,,,4.0,,,Lack of shelter
P037,S01,5.0,,4.0,,,,
P037,S02,4.0,2.0,,,Depends on the weather,,
P037,S03,2.0,2.0,2.0,,,More trees and green spaces,
P037,S04,,,,2.0,,,Heavy rainfall
P038,S01,3.0,,3.0,,,,
P038,S02,3.0,3.0,,,Either route,,
P038,S03,3.0,3.0,3.0,,,More trees and green spaces,
P038,S04,,,,3.0,,,Poor pedestrian infrastructure
P039,S01,3.0,,3.0,,,,
P039,S02,2.0,3.0,,,Shaded/less crowded route,,
P039,S03,4.0,4.0,4.0,,,More trees and green spaces,
P039,S04,,,,3.0,,,Lack of shelter
P040,S01,3.0,,4.0,,,,
P040,S02,3.0,3.0,,,,,
P040,S03,3.0,3.0,3.0,,,Better pedestrian infrastructure,
P040,S04,,,,5.0,,,Poor pedestrian infrastructure
P041,S01,2.0,,2.0,,,,
P041,S02,1.0,5.0,,,Shaded/less crowded route,,
P041,S03,1.0,5.0,1.0,,,Better public transportation,
P041,S04,,,,1.0,,,Heavy rainfall
