citizen_id,archetype,age_group,age_mid,walking_speed_kmh,heat_tolerance,rain_tolerance,crowd_tolerance,green_preference,transit_preference
C00080,Elderly citizen,60+,66,3.34,0.044,0.767,0.277,0.733,0.013
C00081,General pedestrian,25-34,29,4.11,0.628,0.663,0.607,0.751,0.064
C00082,Student,Under 18,16,3.78,0.322,0.995,0.252,0.985,0.198
C00083,General pedestrian,45-59,52,5.97,0.264,0.993,0.701,0.109,0.24
C00084,Student,18-24,21,7.0,0.128,0.439,0.214,0.774,0.005
C00085,General pedestrian,45-59,52,5.25,0.052,0.378,0.368,0.766,0.025
C00086,Student,18-24,21,5.1,0.262,0.698,0.157,0.941,0.157
C00087,Student,18-24,21,5.57,0.246,0.041,0.555,0.944,0.009
C00088,Student,Under 18,16,5.74,0.639,0.919,0.453,0.808,0.017
C00089,Student,18-24,21,5.56,0.319,0.974,0.303,0.865,0.064
C00090,Transit-dependent citizen,25-34,29,5.33,0.103,0.975,0.54,0.955,0.605
C00091,Student,Under 18,16,5.62,0.363,0.632,0.603,0.857,0.145
C00092,Student,18-24,21,5.85,0.279,0.904,0.38,0.669,0.064
C00093,Student,Under 18,16,5.85,0.307,0.877,0.441,0.413,0.057
C00094,Student,18-24,21,4.62,0.35,0.428,0.337,0.853,0.175
C00095,Elderly citizen,60+,66,4.61,0.856,0.913,0.332,0.926,0.005
C00096,Transit-dependent citizen,18-24,21,5.5,0.092,0.969,0.674,0.344,0.874
C00097,Outdoor worker,45-59,52,5.87,0.821,0.99,0.238,0.532,0.164
C00098,Elderly citizen,60+,66,6.03,0.178,0.074,0.441,0.737,0.013
C00099,Student,Under 18,16,6.3,0.66,0.518,0.497,0.48,0.07
C00100,Student,18-24,21,5.23,0.614,0.189,0.752,0.659,0.272
C00101,Transit-dependent citizen,18-24,21,6.95,0.604,0.973,0.482,0.938,0.843
C00102,Mobility-limited citizen,45-59,52,2.99,0.06,0.945,0.106,0.977,0.097
C00103,General pedestrian,45-59,52,6.25,0.173,0.923,0.454,0.175,0.206
C00104,Outdoor worker,18-24,21,5.65,0.909,0.077,0.643,0.502,0.483
C00105,Outdoor worker,18-24,21,5.81,0.961,0.894,0.521,0.945,0.187
C00106,Outdoor worker,35-44,39,5.72,0.852,0.206,0.597,0.956,0.599
C00107,Student,18-24,21,7.2,0.507,0.637,0.614,0.338,0.402
C00108,Outdoor worker,18-24,21,5.89,0.832,0.988,0.472,0.849,0.014
C00109,General pedestrian,25-34,29,7.2,0.584,0.293,0.608,0.543,0.016
C00110,Student,18-24,21,5.76,0.439,0.851,0.564,0.615,0.55
C00111,Mobility-limited citizen,35-44,39,3.13,0.772,0.381,0.125,0.921,0.011
C00112,Outdoor worker,18-24,21,7.2,0.856,0.666,0.66,0.597,0.125
C00113,Student,18-24,21,4.38,0.033,0.688,0.31,0.908,0.021
C00114,Student,18-24,21,5.45,0.644,0.768,0.666,0.672,0.164
C00115,Outdoor worker,18-24,21,7.13,0.756,0.956,0.549,0.8,0.027
C00116,Elderly citizen,60+,66,4.99,0.096,0.505,0.083,0.879,0.549
C00117,Outdoor worker,18-24,21,5.66,0.947,0.258,0.616,0.959,0.024
C00118,Outdoor worker,18-24,21,4.38,0.724,0.105,0.349,0.355,0.041
C00119,Elderly citizen,60+,66,3.89,0.199,0.157,0.227,0.985,0.287
C00120,Student,18-24,21,5.14,0.156,0.355,0.297,0.987,0.045
C00121,Mobility-limited citizen,45-59,52,3.14,0.242,0.879,0.079,0.995,0.249
C00122,Elderly citizen,60+,66,5.32,0.04,0.022,0.418,0.962,0.015
C00123,General pedestrian,35-44,39,6.17,0.206,0.965,0.347,0.674,0.002
C00124,Student,18-24,21,6.99,0.22,0.806,0.387,0.923,0.21
C00125,Outdoor worker,18-24,21,6.55,0.944,0.004,0.659,0.574,0.246
C00126,Student,18-24,21,5.79,0.466,0.728,0.415,0.917,0.131
C00127,Outdoor worker,Under 18,16,7.14,0.943,0.983,0.573,0.41,0.157
C00128,Student,18-24,21,5.16,0.646,0.643,0.328,0.959,0.006
C00129,Student,18-24,21,4.24,0.364,0.21,0.744,0.754,0.003
C00130,Outdoor worker,18-24,21,4.49,0.815,0.965,0.664,0.836,0.084
C00131,Student,18-24,21,5.7,0.362,0.382,0.695,0.976,0.033
C00132,Student,Under 18,16,5.08,0.435,0.962,0.098,0.956,0.017
C00133,Student,18-24,21,6.82,0.115,0.949,0.201,0.939,0.015
C00134,Student,18-24,21,6.11,0.635,0.992,0.313,0.84,0.007
C00135,Outdoor worker,18-24,21,5.88,0.892,0.42,0.567,0.665,0.04
C00136,Student,18-24,21,6.88,0.55,0.98,0.156,0.937,0.523
C00137,Student,18-24,21,4.83,0.078,0.863,0.256,0.98,0.019
C00138,Student,18-24,21,6.35,0.52,0.821,0.324,0.666,0.031
C00139,Student,Under 18,16,4.58,0.16,0.034,0.603,0.834,0.001
C00140,Student,18-24,21,5.46,0.1,0.877,0.632,0.919,0.251
C00141,Student,Under 18,16,7.14,0.476,0.988,0.452,0.922,0.373
C00142,Student,18-24,21,4.97,0.33,0.202,0.613,0.653,0.103
C00143,Outdoor worker,18-24,21,5.47,0.891,0.992,0.557,0.631,0.088
C00144,Outdoor worker,18-24,21,4.17,0.909,0.371,0.46,0.986,0.011
C00145,General pedestrian,35-44,39,7.2,0.716,0.691,0.692,0.668,0.202
C00146,Outdoor worker,18-24,21,5.41,0.884,0.754,0.758,0.636,0.094
C00147,Transit-dependent citizen,18-24,21,5.61,0.881,0.029,0.489,0.518,0.634
C00148,Outdoor worker,Under 18,16,5.99,0.817,0.952,0.397,0.905,0.289
C00149,Student,18-24,21,5.89,0.282,0.788,0.305,0.673,0.214
C00150,Student,18-24,21,6.05,0.454,0.973,0.631,0.587,0.216
C00151,Outdoor worker,18-24,21,5.72,0.947,0.02,0.857,0.149,0.528
C00152,Transit-dependent citizen,Under 18,16,4.23,0.556,0.159,0.217,0.966,0.769
C00153,Outdoor worker,18-24,21,5.7,0.758,0.776,0.349,0.916,0.028
C00154,Elderly citizen,60+,66,5.87,0.82,0.991,0.331,0.913,0.004
C00155,Student,18-24,21,3.99,0.264,0.327,0.566,0.902,0.013
C00156,Family / parent,45-59,52,3.93,0.435,0.241,0.498,0.989,0.01
C00157,Outdoor worker,Under 18,16,5.77,0.824,0.686,0.549,0.397,0.485
C00158,General pedestrian,45-59,52,5.43,0.425,0.862,0.439,0.804,0.421
C00159,Student,18-24,21,5.04,0.692,0.781,0.22,0.965,0.05
C00160,Outdoor worker,18-24,21,6.24,0.893,0.139,0.834,0.136,0.035
C00161,Student,18-24,21,3.71,0.068,0.004,0.317,0.852,0.271
C00162,Elderly citizen,60+,66,5.49,0.805,0.335,0.37,0.862,0.038
C00163,Transit-dependent citizen,18-24,21,4.78,0.53,0.992,0.382,0.979,0.94
C00164,General pedestrian,25-34,29,5.98,0.069,0.739,0.23,0.824,0.018
C00165,Outdoor worker,45-59,52,5.67,0.798,0.264,0.532,0.671,0.019
C00166,Elderly citizen,60+,66,4.95,0.373,0.276,0.578,0.889,0.016
C00167,Student,18-24,21,5.82,0.459,0.327,0.463,0.615,0.013
C00168,Transit-dependent citizen,18-24,21,4.03,0.949,0.368,0.709,0.886,0.902
C00169,Family / parent,35-44,39,5.52,0.542,0.789,0.739,0.881,0.344
C00170,Student,18-24,21,7.05,0.33,0.984,0.341,0.874,0.003
C00171,Family / parent,25-34,29,7.16,0.025,0.835,0.305,0.983,0.012
C00172,General pedestrian,45-59,52,5.47,0.314,0.264,0.577,0.529,0.002
C00173,Outdoor worker,Under 18,16,6.1,0.921,0.68,0.816,0.517,0.209
C00174,Outdoor worker,Under 18,16,4.12,0.729,0.6,0.802,0.644,0.023
C00175,Student,Under 18,16,5.33,0.271,0.631,0.681,0.8,0.544
C00176,Transit-dependent citizen,18-24,21,6.86,0.691,0.114,0.835,0.273,0.901
C00177,Student,Under 18,16,4.03,0.516,0.4,0.371,0.966,0.008
C00178,Student,18-24,21,5.28,0.044,0.995,0.281,0.71,0.038
C00179,Transit-dependent citizen,Under 18,16,5.36,0.744,0.108,0.603,0.15,0.609
C00180,Student,18-24,21,4.5,0.142,0.983,0.672,0.647,0.05
C00181,Student,Under 18,16,5.04,0.532,0.973,0.363,0.908,0.296
C00182,Family / parent,25-34,29,6.35,0.259,0.736,0.295,0.863,0.0
C00183,Outdoor worker,18-24,21,6.97,0.826,0.971,0.183,0.832,0.127
C00184,Outdoor worker,Under 18,16,4.44,0.934,0.08,0.402,0.982,0.0
C00185,General pedestrian,45-59,52,4.28,0.341,0.889,0.414,0.818,0.06
C00186,Student,18-24,21,6.29,0.293,0.962,0.2,0.808,0.028
C00187,Student,Under 18,16,5.58,0.667,0.391,0.602,0.798,0.163
C00188,Outdoor worker,45-59,52,6.52,0.788,0.683,0.647,0.771,0.005
C00189,Student,18-24,21,5.33,0.545,0.886,0.679,0.985,0.385
C00190,Elderly citizen,60+,66,4.58,0.67,0.993,0.413,0.974,0.008
C00191,Transit-dependent citizen,18-24,21,4.75,0.816,0.586,0.231,0.518,0.911
C00192,Student,18-24,21,6.02,0.716,0.115,0.724,0.908,0.026
C00193,Mobility-limited citizen,35-44,39,3.34,0.549,0.898,0.451,0.825,0.016
C00194,Outdoor worker,18-24,21,5.98,0.823,0.799,0.605,0.938,0.102
C00195,Student,Under 18,16,6.85,0.645,0.996,0.42,0.9,0.199
C00196,Student,18-24,21,6.75,0.264,0.508,0.621,0.945,0.324
C00197,Student,Under 18,16,5.75,0.317,0.486,0.42,0.968,0.0
C00198,Student,18-24,21,6.05,0.131,0.766,0.584,0.577,0.129
C00199,Outdoor worker,45-59,52,5.59,0.878,0.85,0.374,0.88,0.303
C00200,Outdoor worker,45-59,52,5.77,0.871,0.055,0.657,0.423,0.136
C00201,Transit-dependent citizen,18-24,21,6.88,0.272,0.968,0.491,0.942,0.668
C00202,Outdoor worker,18-24,21,6.12,0.792,0.527,0.759,0.637,0.367
C00203,Outdoor worker,25-34,29,5.74,0.913,0.605,0.724,0.958,0.039
C00204,Student,18-24,21,4.45,0.416,0.987,0.34,0.993,0.039
C00205,General pedestrian,35-44,39,5.52,0.338,0.106,0.509,0.75,0.399
C00206,Outdoor worker,Under 18,16,4.4,0.963,0.154,0.603,0.638,0.246
C00207,Student,18-24,21,5.06,0.585,0.99,0.44,0.723,0.442
C00208,Transit-dependent citizen,18-24,21,4.94,0.864,0.78,0.427,0.576,0.86
C00209,Student,18-24,21,6.66,0.149,0.947,0.192,0.967,0.001
C00210,Student,Under 18,16,4.53,0.612,0.193,0.494,0.995,0.014
C00211,Student,18-24,21,5.21,0.512,0.422,0.546,0.968,0.217
C00212,Student,18-24,21,5.34,0.573,0.303,0.114,0.89,0.376
C00213,Transit-dependent citizen,Under 18,16,4.59,0.643,0.677,0.374,0.696,0.831
C00214,Student,18-24,21,4.83,0.284,0.087,0.368,0.808,0.045
C00215,Outdoor worker,Under 18,16,5.23,0.939,0.082,0.838,0.887,0.029
C00216,Outdoor worker,Under 18,16,5.82,0.77,0.996,0.363,0.368,0.028
C00217,Student,18-24,21,5.25,0.5,0.017,0.581,0.765,0.074
C00218,General pedestrian,45-59,52,6.0,0.581,0.931,0.755,0.203,0.143
C00219,Outdoor worker,45-59,52,6.09,0.73,0.3,0.364,0.937,0.398
C00220,Elderly citizen,60+,66,6.6,0.115,0.827,0.493,0.318,0.518
C00221,Student,18-24,21,4.85,0.367,0.062,0.302,0.313,0.02
C00222,Mobility-limited citizen,18-24,21,1.97,0.398,0.708,0.141,0.962,0.093
C00223,Elderly citizen,60+,66,5.24,0.55,0.052,0.466,0.987,0.087
C00224,Outdoor worker,18-24,21,6.13,0.725,0.333,0.77,0.865,0.316
C00225,Family / parent,35-44,39,5.4,0.045,0.823,0.524,0.936,0.045
C00226,Student,18-24,21,3.92,0.65,0.998,0.453,0.897,0.031
C00227,Transit-dependent citizen,18-24,21,3.76,0.516,0.806,0.491,0.687,0.635
C00228,Elderly citizen,60+,66,6.79,0.59,0.993,0.483,0.953,0.061
C00229,Student,18-24,21,4.18,0.499,0.28,0.694,0.944,0.168
C00230,Student,18-24,21,6.04,0.082,0.731,0.306,0.559,0.362
C00231,Outdoor worker,18-24,21,7.06,0.855,0.66,0.476,0.157,0.0
C00232,Student,Under 18,16,4.86,0.268,0.173,0.738,0.984,0.059
C00233,Outdoor worker,25-34,29,5.82,0.851,0.003,0.626,0.107,0.005
C00234,Student,18-24,21,6.7,0.116,0.059,0.662,0.98,0.024
C00235,Student,18-24,21,4.03,0.521,0.871,0.17,0.791,0.016
C00236,Transit-dependent citizen,18-24,21,3.98,0.308,0.396,0.629,0.837,0.603
C00237,Outdoor worker,Under 18,16,6.04,0.831,0.947,0.298,0.982,0.019
C00238,Mobility-limited citizen,18-24,21,2.56,0.595,0.983,0.121,0.981,0.06
C00239,Transit-dependent citizen,45-59,52,4.14,0.709,0.812,0.37,0.925,0.611
C00240,General pedestrian,35-44,39,6.02,0.082,0.592,0.617,0.763,0.021
C00241,Student,18-24,21,6.94,0.563,0.906,0.509,0.96,0.031
C00242,Elderly citizen,60+,66,6.41,0.968,0.896,0.45,0.634,0.605
C00243,Mobility-limited citizen,18-24,21,3.36,0.091,0.927,0.197,0.131,0.947
C00244,Family / parent,25-34,29,7.06,0.469,0.942,0.505,0.941,0.51
C00245,Outdoor worker,18-24,21,3.98,0.87,0.527,0.709,0.436,0.055
C00246,Student,Under 18,16,5.58,0.385,0.895,0.136,0.995,0.004
C00247,Student,Under 18,16,6.05,0.284,0.893,0.227,0.898,0.025
C00248,Family / parent,45-59,52,4.55,0.343,0.464,0.193,0.956,0.024
C00249,Student,Under 18,16,5.87,0.433,0.003,0.776,0.841,0.016
C00250,Student,18-24,21,5.59,0.585,0.967,0.335,0.966,0.248
C00251,Transit-dependent citizen,18-24,21,4.59,0.965,0.813,0.333,0.867,0.937
C00252,Outdoor worker,35-44,39,6.41,0.936,0.759,0.575,0.045,0.25
C00253,Outdoor worker,45-59,52,5.2,0.75,0.368,0.798,0.38,0.172
C00254,Family / parent,45-59,52,4.33,0.489,0.963,0.552,0.918,0.097
C00255,General pedestrian,45-59,52,5.29,0.703,0.008,0.662,0.521,0.055
C00256,Outdoor worker,18-24,21,7.2,0.97,0.847,0.268,0.994,0.003
C00257,Student,18-24,21,6.76,0.687,0.61,0.411,0.265,0.043
C00258,Student,18-24,21,4.28,0.472,0.892,0.538,0.723,0.06
C00259,Family / parent,25-34,29,7.2,0.54,0.593,0.508,0.923,0.004
C00260,Student,Under 18,16,7.14,0.715,0.982,0.351,0.392,0.179
C00261,Transit-dependent citizen,25-34,29,6.24,0.546,0.219,0.444,0.458,0.685
C00262,Student,Under 18,16,6.19,0.558,0.193,0.229,0.824,0.038
C00263,Student,18-24,21,4.68,0.541,0.899,0.293,0.962,0.016
C00264,Student,18-24,21,4.07,0.046,0.901,0.278,0.89,0.351
C00265,Outdoor worker,18-24,21,3.77,0.836,0.234,0.52,0.423,0.356
C00266,Student,18-24,21,5.84,0.499,0.717,0.58,0.567,0.456
C00267,Transit-dependent citizen,18-24,21,7.15,0.321,0.995,0.374,0.928,0.702
C00268,Student,18-24,21,5.82,0.333,0.614,0.35,0.983,0.222
C00269,Student,18-24,21,5.4,0.577,0.202,0.424,0.978,0.006
C00270,Student,Under 18,16,4.86,0.034,0.213,0.453,0.969,0.6
C00271,General pedestrian,45-59,52,5.43,0.399,0.981,0.313,0.714,0.081
C00272,Outdoor worker,Under 18,16,6.94,0.922,0.931,0.649,0.658,0.266
C00273,Elderly citizen,60+,66,6.26,0.655,0.937,0.369,0.495,0.427
C00274,Student,18-24,21,5.85,0.174,0.797,0.106,0.874,0.381
C00275,Elderly citizen,60+,66,4.43,0.353,0.913,0.278,0.898,0.091
C00276,Outdoor worker,Under 18,16,5.39,0.873,0.032,0.871,0.591,0.007
C00277,General pedestrian,45-59,52,4.45,0.103,0.81,0.468,0.446,0.119
C00278,Elderly citizen,60+,66,6.11,0.504,0.883,0.53,0.96,0.163
C00279,Student,18-24,21,6.22,0.284,0.491,0.449,0.871,0.127
C00280,Outdoor worker,18-24,21,6.95,0.924,0.431,0.486,0.812,0.003
C00281,Student,18-24,21,5.52,0.109,0.997,0.187,0.976,0.06
C00282,Student,18-24,21,7.2,0.218,0.968,0.414,0.754,0.002
C00283,Student,Under 18,16,4.6,0.257,0.992,0.132,0.958,0.065
C00284,Family / parent,45-59,52,6.42,0.343,0.97,0.132,0.984,0.183
C00285,Outdoor worker,Under 18,16,5.31,0.839,0.943,0.239,0.923,0.056
C00286,Outdoor worker,18-24,21,4.81,0.883,0.374,0.67,0.348,0.411
C00287,Student,18-24,21,6.66,0.578,0.819,0.258,0.974,0.028
C00288,Mobility-limited citizen,45-59,52,2.82,0.079,0.372,0.316,0.976,0.188
C00289,General pedestrian,25-34,29,5.93,0.412,0.981,0.608,0.796,0.001
C00290,Student,18-24,21,7.14,0.577,0.41,0.252,0.523,0.029
C00291,Student,18-24,21,4.91,0.298,0.971,0.127,0.679,0.106
C00292,Outdoor worker,18-24,21,5.72,0.929,0.99,0.231,0.869,0.01
C00293,Student,Under 18,16,3.99,0.06,0.949,0.315,0.848,0.303
C00294,Mobility-limited citizen,Under 18,16,3.09,0.593,0.015,0.375,0.909,0.006
C00295,Outdoor worker,18-24,21,7.2,0.819,0.962,0.449,0.503,0.554
C00296,Elderly citizen,60+,66,5.11,0.23,0.869,0.3,0.856,0.015
C00297,Mobility-limited citizen,18-24,21,3.56,0.274,0.059,0.285,0.954,0.123
C00298,Student,18-24,21,5.59,0.349,0.295,0.665,0.989,0.015
C00299,Student,18-24,21,6.95,0.107,0.385,0.607,0.847,0.01
C00300,Student,Under 18,16,4.73,0.128,0.665,0.339,0.995,0.493
C00301,Family / parent,45-59,52,4.3,0.519,0.261,0.249,0.996,0.073
C00302,Transit-dependent citizen,25-34,29,5.91,0.733,0.171,0.347,0.942,0.657
C00303,Elderly citizen,60+,66,6.52,0.952,0.959,0.277,0.499,0.119
C00304,Student,18-24,21,5.55,0.491,0.787,0.301,0.412,0.013
C00305,Student,18-24,21,6.79,0.563,0.941,0.314,0.902,0.096
C00306,Student,18-24,21,5.14,0.354,0.997,0.437,0.909,0.543
C00307,General pedestrian,45-59,52,5.99,0.107,0.411,0.351,0.836,0.055
C00308,Outdoor worker,18-24,21,4.51,0.938,0.961,0.551,0.762,0.282
C00309,Transit-dependent citizen,18-24,21,5.45,0.895,0.869,0.325,0.884,0.813
C00310,Outdoor worker,Under 18,16,5.25,0.79,0.149,0.573,0.772,0.12
C00311,Elderly citizen,60+,66,5.43,0.884,0.449,0.671,0.43,0.007
C00312,Elderly citizen,60+,66,5.6,0.252,0.261,0.64,0.611,0.912
C00313,Student,18-24,21,6.03,0.573,0.021,0.594,0.374,0.007
C00314,Student,18-24,21,6.88,0.679,0.101,0.57,0.886,0.003
C00315,Student,Under 18,16,6.34,0.664,0.988,0.514,0.952,0.002
C00316,Elderly citizen,60+,66,5.94,0.94,0.065,0.543,0.881,0.023
C00317,Student,18-24,21,4.53,0.565,0.825,0.379,0.815,0.136
C00318,Elderly citizen,60+,66,6.16,0.396,0.836,0.48,0.718,0.09
C00319,Mobility-limited citizen,Under 18,16,3.38,0.848,0.888,0.239,0.978,0.208
C00320,Transit-dependent citizen,18-24,21,5.14,0.744,0.173,0.623,0.592,0.891
C00321,Outdoor worker,18-24,21,6.29,0.833,0.178,0.857,0.205,0.009
C00322,Student,18-24,21,4.02,0.699,0.073,0.644,0.92,0.005
C00323,Student,18-24,21,6.21,0.456,0.967,0.434,0.915,0.016
C00324,Outdoor worker,18-24,21,7.2,0.869,0.92,0.458,0.977,0.062
C00325,Student,Under 18,16,5.82,0.276,0.702,0.266,0.941,0.487
C00326,Student,18-24,21,7.2,0.55,0.68,0.415,0.854,0.09
C00327,Outdoor worker,25-34,29,7.15,0.904,0.626,0.692,0.926,0.057
C00328,General pedestrian,25-34,29,5.97,0.143,0.014,0.649,0.755,0.216
C00329,Transit-dependent citizen,18-24,21,4.23,0.089,0.986,0.31,0.857,0.635
C00330,General pedestrian,45-59,52,5.23,0.701,0.631,0.72,0.626,0.28
C00331,Student,18-24,21,4.11,0.285,0.02,0.364,0.904,0.046
C00332,Family / parent,45-59,52,5.48,0.378,0.007,0.57,0.89,0.152
C00333,Transit-dependent citizen,18-24,21,6.29,0.224,0.069,0.705,0.251,0.948
C00334,Family / parent,35-44,39,5.45,0.467,0.99,0.393,0.957,0.154
C00335,Student,18-24,21,6.49,0.123,0.421,0.304,0.802,0.02
C00336,Student,Under 18,16,5.67,0.658,0.992,0.621,0.711,0.488
C00337,Student,Under 18,16,6.81,0.242,0.035,0.519,0.42,0.152
C00338,Student,18-24,21,6.55,0.72,0.051,0.717,0.457,0.015
C00339,Outdoor worker,Under 18,16,6.83,0.868,0.87,0.665,0.965,0.004
C00340,Student,18-24,21,3.84,0.121,0.605,0.201,0.995,0.043
C00341,Student,18-24,21,5.87,0.277,0.017,0.6,0.953,0.012
C00342,Outdoor worker,18-24,21,4.26,0.799,0.625,0.23,0.973,0.029
C00343,Outdoor worker,Under 18,16,4.36,0.887,0.424,0.788,0.378,0.078
C00344,Student,18-24,21,4.09,0.53,0.96,0.344,0.939,0.014
